Zestimate,Price,Rent_Zestimate,Bathrooms,Bedrooms,Living_Area,Home_Type,Avg_Income_Per_Capita,Zip,logZestimate,logPrice,logRentzestimate,Price_per_sqft,Total_Housing_Units_By_Zip,Homeowner_Vacancy_Rate_By_Zip,Percent_Occupied_Housing_Lacking_Complete_Plumbing_Facilities,Percent_Occupied_Housing_Lacking_Complete_Kitchen_Facilities,Percent_Occupied_Housing_No_Telephone_Service_Available,Typical_Home_Value_Mar21,Avg_Typical_Home_Value_Over_Past_10yrs,Avg_Yearly_Value_Growth_Rate
519010,524000,2400,3,3,2458,SINGLE_FAMILY,107,Zip_92372,13.15967843,13.16924696,7.783224016,213.1814483,2439,0,0,1.8,0,357184,241468.8182,9.08241122
265188,265000,1963,2,2,1056,SINGLE_FAMILY,108,Zip_92397,12.48819429,12.4874851,7.582229194,250.9469697,3007,1.6,0,0,0,369560,262242.2645,7.661289708
319567,319000,2100,2,3,1176,SINGLE_FAMILY,108,Zip_92397,12.67472223,12.67294638,7.649692624,271.2585034,3007,1.6,0,0,0,369560,262242.2645,7.661289708
400854,400000,1800,1,3,1021,SINGLE_FAMILY,108,Zip_92397,12.90135255,12.89921983,7.495541944,391.7727718,3007,1.6,0,0,0,369560,262242.2645,7.661289708
330939,330000,1950,2,3,1092,SINGLE_FAMILY,108,Zip_92397,12.70968935,12.70684793,7.575584652,302.1978022,3007,1.6,0,0,0,369560,262242.2645,7.661289708
198024,303000,1657,1,2,660,SINGLE_FAMILY,108,Zip_92397,12.19614351,12.62148808,7.412764017,459.0909091,3007,1.6,0,0,0,369560,262242.2645,7.661289708
482545,480000,2500,3,3,3206,SINGLE_FAMILY,107,Zip_92372,13.08682946,13.08154138,7.824046011,149.7192764,2439,0,0,1.8,0,357184,241468.8182,9.08241122
331888,330000,2000,2,3,1500,SINGLE_FAMILY,108,Zip_92397,12.71255284,12.70684793,7.60090246,220,3007,1.6,0,0,0,369560,262242.2645,7.661289708
473479,470000,2400,2,3,2840,SINGLE_FAMILY,108,Zip_92397,13.06786284,13.06048797,7.783224016,165.4929577,3007,1.6,0,0,0,369560,262242.2645,7.661289708
448294,445000,2200,3,5,2352,SINGLE_FAMILY,104,Zip_92371,13.01320455,13.00582956,7.696212639,189.2006803,5898,0,0.3,1.6,2.3,352373,235861.7521,9.231399822
346665,370000,2018,2,3,1576,SINGLE_FAMILY,108,Zip_92397,12.75611417,12.82125828,7.609862201,234.7715736,3007,1.6,0,0,0,369560,262242.2645,7.661289708
453710,450000,2450,2,3,2024,SINGLE_FAMILY,108,Zip_92397,13.02521351,13.01700286,7.803843304,222.3320158,3007,1.6,0,0,0,369560,262242.2645,7.661289708
378882,375000,1850,3,3,1668,SINGLE_FAMILY,104,Zip_92371,12.84498009,12.8346813,7.522940918,224.8201439,5898,0,0.3,1.6,2.3,352373,235861.7521,9.231399822
