Zestimate,Price,Rent_Zestimate,Bathrooms,Bedrooms,Living_Area,Home_Type,Avg_Income_Per_Capita,Zip,logZestimate,logprice,logrentzestimate,$/sqft
320000,316400,2800,2,2,1283,CONDO,134,Zip_92253,12.67607627,12.66476251,7.937374696,246.609509
552715,805000,2700,3,3,2245,SINGLE_FAMILY,110,Zip_93510,13.22259778,13.59859756,7.901007052,358.5746102
314367,351000,2200,2,3,1303,SINGLE_FAMILY,105,Zip_93535,12.65831637,12.7685415,7.696212639,269.3783576
439867,440000,2345,2,2,1150,CONDO,118,Zip_92078,12.99422769,12.99453001,7.760040681,382.6086957
826727,856300,3000,2,3,1428,SINGLE_FAMILY,114,Zip_92054,13.62522981,13.66037606,8.006367568,599.6498599
394431,397700,1880,1,1,628,CONDO,207,Zip_92014,12.8851995,12.89345323,7.539027056,633.2802548
4105474,4050000,25000,7,5,8192,SINGLE_FAMILY,147,Zip_92130,15.22783176,15.21422744,10.1266311,494.3847656
274885,281000,1695,1,1,686,CONDO,106,Zip_92126,12.52410811,12.54610995,7.43543802,409.6209913
402866,400000,2495,2,2,1722,SINGLE_FAMILY,134,Zip_92004,12.90635928,12.89921983,7.822044008,232.2880372
457553,450000,2500,3,3,1600,SINGLE_FAMILY,163,Zip_92061,13.033648,13.01700286,7.824046011,281.25
791704,795000,2995,3,4,2278,SINGLE_FAMILY,124,Zip_92029,13.58194286,13.58609739,8.004699511,348.9903424
487984,470000,2500,3,3,1428,TOWNHOUSE,96,Zip_92139,13.0980379,13.06048797,7.824046011,329.1316527
322664,310000,1850,2,4,1825,SINGLE_FAMILY,146,Zip_85364,12.68436681,12.64432758,7.522940918,169.8630137
476975,479500,2400,3,3,1497,CONDO,109,Zip_91786,13.07521936,13.08049917,7.783224016,320.3072812
3161221,3381600,5825,2,3,1712,SINGLE_FAMILY,160,Zip_93109,14.9664689,15.03385953,8.669914278,1975.233645
106187,104000,1150,1,1,628,MANUFACTURED,146,Zip_86442,11.57295697,11.55214618,7.047517221,165.6050955
1249728,1360000,4300,3,5,2583,SINGLE_FAMILY,124,Zip_92011,14.03843649,14.12299526,8.366370302,526.5195509
1280164,1100000,2989,3,3,2353,SINGLE_FAMILY,110,Zip_92069,14.06249875,13.91082074,8.002694162,467.4883128
525206,515000,2675,2,3,1664,SINGLE_FAMILY,163,Zip_92061,13.17154585,13.15192218,7.891704659,309.4951923
289585,296000,1825,1,2,877,CONDO,106,Zip_92083,12.57620414,12.59811473,7.509335266,337.5142531
660154,675000,2895,2,4,1396,SINGLE_FAMILY,106,Zip_92056,13.40022842,13.42246797,7.97074039,483.5243553
848324,825000,2800,1,2,792,SINGLE_FAMILY,116,Zip_91104,13.65101792,13.62313867,7.937374696,1041.666667
1036529,1100000,3598,2,3,1446,SINGLE_FAMILY,135,Zip_91505,13.85138819,13.91082074,8.188133415,760.7192254
1466806,1495000,5042,2,3,1851,SINGLE_FAMILY,146,Zip_90068,14.19859781,14.21763676,8.525558108,807.6715289
565142,540000,2400,2,2,1161,CONDO,182,Zip_91316,13.24483231,13.19932442,7.783224016,465.1162791
305536,305000,2150,2,2,990,CONDO,182,Zip_91316,12.62982289,12.62806706,7.673223121,308.0808081
3445304,3250000,12424,6,5,5104,SINGLE_FAMILY,181,Zip_91106,15.0525227,14.99416555,9.427385365,636.7554859
957948,955000,4100,3,4,2282,SINGLE_FAMILY,152,Zip_91367,13.77254878,13.76946662,8.318742253,418.4925504
587073,577000,2950,3,3,1490,TOWNHOUSE,124,Zip_91401,13.28290445,13.26559755,7.989560449,387.2483221
500856,700000,2300,1,2,810,SINGLE_FAMILY,109,Zip_90042,13.12407391,13.45883561,7.740664402,864.1975309
712830,680000,3500,3,3,1562,TOWNHOUSE,172,Zip_91403,13.47699824,13.42984808,8.160518247,435.3393086
2260148,2250000,6500,5,4,3300,SINGLE_FAMILY,182,Zip_91316,14.63094086,14.62644077,8.779557456,681.8181818
1014900,1155000,2900,1,3,1559,SINGLE_FAMILY,126,Zip_91001,13.83030064,13.9596109,7.972466016,740.8595253
891909,935000,3300,3,3,1750,SINGLE_FAMILY,105,Zip_91335,13.70111939,13.74830181,8.101677747,534.2857143
2440800,2000000,6285,3,3,2886,SINGLE_FAMILY,156,Zip_91202,14.70783641,14.50865774,8.745921121,693.000693
327956,260000,2150,2,2,990,CONDO,182,Zip_91316,12.70063473,12.46843691,7.673223121,262.6262626
3942776,4350000,12500,16,5,6329,SINGLE_FAMILY,226,Zip_91302,15.1873956,15.2856864,9.433483923,687.3123716
1300011,1300000,5000,4,4,2955,SINGLE_FAMILY,119,Zip_91203,14.07788328,14.07787482,8.517193191,439.9323181
685033,682000,3100,2,4,1394,SINGLE_FAMILY,100,Zip_91331,13.43722229,13.43278494,8.03915739,489.2395983
712581,725000,3275,3,2,2140,TOWNHOUSE,150,Zip_91356,13.47664887,13.49392693,8.094073148,338.7850467
668330,759000,3200,2,3,1347,SINGLE_FAMILY,102,Zip_91306,13.41253734,13.53975706,8.070906089,563.4743875
2793061,2825476,11995,5,5,2993,SINGLE_FAMILY,180,Zip_90004,14.84264869,14.8541874,9.392245175,944.0280655
898001,888000,3495,2,3,1492,SINGLE_FAMILY,115,Zip_91801,13.70792646,13.69672702,8.159088655,595.1742627
5712930,5500000,4500,8,6,6730,SINGLE_FAMILY,183,Zip_91105,15.55824258,15.52025865,8.411832676,817.2362556
771067,775000,3200,4,5,2164,SINGLE_FAMILY,120,Zip_91325,13.55553055,13.56061831,8.070906089,358.1330869
1072962,1050000,4850,3,2,1510,CONDO,166,Zip_90046,13.88593361,13.86430072,8.486733984,695.3642384
549134,525000,2700,2,2,1171,CONDO,119,Zip_91501,13.21609777,13.17115354,7.901007052,448.3347566
2928037,2900000,10500,6,6,4420,SINGLE_FAMILY,193,Zip_91011,14.88984279,14.88022129,9.259130536,656.1085973
575234,580000,2895,2,2,1341,CONDO,170,Zip_91423,13.26253219,13.27078338,7.97074039,432.51305
293283,310000,1980,1,1,473,APARTMENT,187,Zip_91361,12.58889329,12.64432758,7.590852124,655.3911205
669937,649990,3000,2,3,1433,SINGLE_FAMILY,110,Zip_91351,13.41493896,13.38471226,8.006367568,453.5868807
413292,410000,2300,2,2,1040,CONDO,121,Zip_91387,12.93190964,12.92391244,7.740664402,394.2307692
356163,349990,2050,2,2,829,CONDO,120,Zip_91321,12.78314377,12.76565986,7.625595072,422.1833534
281487,292500,1995,1,1,735,TOWNHOUSE,132,Zip_91355,12.54784154,12.58621995,7.598399329,397.9591837
718704,715000,3500,3,4,2272,SINGLE_FAMILY,132,Zip_91355,13.48520487,13.48003782,8.160518247,314.7007042
1010032,970000,4200,4,4,2706,SINGLE_FAMILY,129,Zip_91381,13.82549257,13.78505135,8.342839804,358.4626755
278109,290000,2100,1,2,806,CONDO,120,Zip_91321,12.5357684,12.5776362,7.649692624,359.8014888
817302,810500,3450,3,4,2289,SINGLE_FAMILY,132,Zip_91355,13.61376395,13.60540662,8.14612951,354.0847532
764802,785000,3450,3,4,2363,SINGLE_FAMILY,110,Zip_91354,13.54737226,13.573439,8.14612951,332.2048244
854934,935000,3300,4,4,2978,SINGLE_FAMILY,111,Zip_91390,13.65877955,13.74830181,8.101677747,313.9691068
420070,411000,2460,2,2,963,TOWNHOUSE,129,Zip_91381,12.94817664,12.92634849,7.807916629,426.7912773
727367,755000,3500,3,4,2420,SINGLE_FAMILY,120,Zip_91321,13.49718644,13.53447303,8.160518247,311.9834711
676200,670000,3275,4,3,2779,SINGLE_FAMILY,120,Zip_91321,13.42424417,13.41503299,8.094073148,241.0939187
539519,546000,2400,2,2,864,SINGLE_FAMILY,132,Zip_91355,13.19843328,13.21037425,7.783224016,631.9444444
942297,976500,3900,3,4,3027,SINGLE_FAMILY,121,Zip_91387,13.75607579,13.79173003,8.268731832,322.5966303
698610,725000,3300,3,3,1936,TOWNHOUSE,132,Zip_91355,13.45684793,13.49392693,8.101677747,374.4834711
439189,435000,2500,2,2,1112,CONDO,132,Zip_91355,12.99268512,12.98310131,7.824046011,391.1870504
284900,286000,1895,1,1,700,CONDO,111,Zip_91350,12.55989352,12.56374709,7.546974118,408.5714286
541257,535000,2700,2,3,1465,TOWNHOUSE,120,Zip_91321,13.20164949,13.19002203,7.901007052,365.1877133
464261,470000,2600,3,3,1373,TOWNHOUSE,121,Zip_91387,13.04820217,13.06048797,7.863266724,342.3160961
280284,283000,1850,1,1,700,CONDO,111,Zip_91350,12.54355865,12.55320218,7.522940918,404.2857143
329001,325000,2000,1,1,693,CONDO,132,Zip_91355,12.70381607,12.69158046,7.60090246,468.975469
715426,715000,2895,3,5,2879,SINGLE_FAMILY,111,Zip_91350,13.48063345,13.48003782,7.97074039,248.3501216
694708,740000,3300,3,3,1919,TOWNHOUSE,132,Zip_91355,13.45124689,13.51440547,8.101677747,385.6175091
601715,610000,3050,2,4,1376,SINGLE_FAMILY,111,Zip_91350,13.30753919,13.32121424,8.02289687,443.3139535
431243,435000,2500,2,2,1000,CONDO,132,Zip_91355,12.97442702,12.98310131,7.824046011,435
916763,926000,3575,3,5,2560,SINGLE_FAMILY,129,Zip_91381,13.72860427,13.73862951,8.181720455,361.71875
568780,560000,3100,3,3,1576,SINGLE_FAMILY,120,Zip_91321,13.251249,13.23569206,8.03915739,355.3299492
600521,587200,3045,2,4,1440,SINGLE_FAMILY,110,Zip_91351,13.30555289,13.28312076,8.02125618,407.7777778
365001,360000,2150,1,1,845,CONDO,132,Zip_91355,12.80765537,12.79385931,7.673223121,426.035503
404475,412000,2382,2,3,1045,CONDO,120,Zip_91321,12.91034521,12.92877863,7.77569575,394.2583732
730435,730000,3100,4,4,2516,SINGLE_FAMILY,110,Zip_91351,13.50139553,13.50079981,8.03915739,290.1430843
483108,550000,2750,2,3,1080,SINGLE_FAMILY,110,Zip_91351,13.08799551,13.21767356,7.919356191,509.2592593
